target,target_index_1based,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,evr_percent,coef,intercept,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy
alcohol,46,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.13428640238607384,-0.008560888194285616,0.4967347672604098,0.5798595620697118,0.7614851029860741,0.5050371486769059,0.5256674566736015,0.7308364027875457
alcohol,46,13,13,3.6372389055710395,0.015655647979452337,1.5655647979452336,0.061035678148870176,-0.008560888194285644,0.7575091855032581,0.022940133644726246,0.1514600067500534,0.7108810045439335,0.06021157337724703,0.24802849254088027
alcohol,46,126,126,0.12786343418962204,0.0005503583809275011,0.0550358380927501,0.03089403343533488,-0.008560888194285687,0.7662711003853383,0.00020661038950531285,0.014373948292146251,0.7135264870165388,0.05320387483753164,0.23521857793501297
alcohol,46,17,17,2.835193416915173,0.012203429920673841,1.220342992067384,0.0109135729211158,-0.00856088819428572,0.7661311773847385,0.0005717065505901342,0.02391038583106146,0.7154186215327114,0.04817577575119092,0.2212552879273156
alcohol,46,102,102,0.26521662980912314,0.001141563230347246,0.1141563230347246,0.027001580296521843,-0.008560888194285717,0.7662248230495079,0.0003273675922921271,0.0180933024153198,0.7155646689205203,0.04778712041990363,0.21990540487638718
alcohol,46,38,38,1.4046655562384334,0.0060460558264808254,0.6046055826480825,0.031698586123315935,-0.008560888194285734,0.7654341230955358,0.002389512372216407,0.04888263876077416,0.7157444405299568,0.04730861064366321,0.2251066036541696
alcohol,46,162,162,0.01963327539417405,8.450686255006269e-05,0.008450686255006268,-0.02414820228832146,-0.008560888194285719,0.7663428453546995,1.9382908084120132e-05,0.004402602421762654,0.7162967488123559,0.045837743865656866,0.2189545551374684
alcohol,46,15,15,3.0995750706419116,0.013341399190889116,1.3341399190889116,-0.016485424097068872,-0.008560888194285726,0.7658036200906836,0.0014261295371091887,0.0377641302972702,0.7167607685973528,0.04460112350319789,0.2146843328804891
alcohol,46,14,14,3.320519093480101,0.01429240129290136,1.429240129290136,0.009049340617154145,-0.008560888194285712,0.7661738540989191,0.00046035876880268223,0.021455972800199986,0.7167983751559168,0.04450086632414385,0.21268139676935902
alcohol,46,99,99,0.29370606768199287,0.00126418938223047,0.12641893822304698,0.033876447004032625,-0.008560888194285745,0.7661315846740486,0.0005706439216814907,0.023888154421838136,0.7170632222074119,0.04379464854151427,0.21213135332571087
alcohol,46,8,8,5.894338989064857,0.025370809748850587,2.5370809748850585,-0.00962713721528187,-0.008560888194285712,0.7659957989394969,0.0009248813028329694,0.03041186121948263,0.717176403889184,0.04349276868604568,0.2099061350993498
alcohol,46,74,74,0.5732858092185649,0.0024675752827218373,0.24675752827218372,-0.08550089820924096,-0.00856088819428567,0.7636267004999715,0.007095273050002016,0.08423344377384957,0.7172504260598977,0.04329530988769448,0.21621259517119834
alcohol,46,98,98,0.30721620015604656,0.0013223406017848383,0.13223406017848383,-0.018729744161100882,-0.00856088819428571,0.7662803556455869,0.0001824586137344486,0.013507724224847065,0.7174107660053465,0.04286752311152875,0.20839404494535937
alcohol,46,43,43,1.2052848950466335,0.005187868193892744,0.5187868193892744,-0.016012816403604493,-0.008560888194285724,0.7661497625167538,0.0005232168594873077,0.02287393406232323,0.7174286923542882,0.04281968969183636,0.2090086106998652
alcohol,46,58,58,0.8337089469250283,0.0035885060424231266,0.3588506042423127,-0.028090128850768798,-0.008560888194285708,0.7659234013084406,0.001113726342965471,0.03337253875517145,0.717527121489088,0.04255702695261687,0.21552019826299856
alcohol,46,60,60,0.7889342692592156,0.0033957838676834506,0.33957838676834506,0.026517136748250982,-0.008560888194285719,0.765990315979231,0.0009391839127974588,0.03064610762882234,0.7176129488768501,0.04232796315407983,0.22098096324708832
alcohol,46,152,152,0.042752248545621555,0.00018401709949135805,0.018401709949135803,0.007338107079051315,-0.008560888194285724,0.7663487790212027,3.897477513059577e-06,0.001974203007096231,0.7189324581177372,0.038802890542990465,0.2084147864802087
alcohol,46,141,141,0.06592910925723788,0.00028377649995694223,0.028377649995694223,-0.009816708181347542,-0.008560888194285724,0.7663461508563637,1.0756365166120219e-05,0.003279689797238211,0.7190053061548386,0.03860808818161843,0.20654347235848614
alcohol,46,26,26,2.0190904580673434,0.008690704754575576,0.8690704754575576,0.013307930193929812,-0.008560888194285722,0.7661182679242576,0.0006053873920367492,0.024604621355282488,0.719137602331883,0.03825426554705613,0.20881501876657427
alcohol,46,101,101,0.27425084803589356,0.0011804489191897458,0.11804489191897458,-0.022088995213870293,-0.008560888194285715,0.7662634607136984,0.0002265460366276395,0.015051446330092819,0.7200856584434892,0.035716809753194356,0.19587673777245132
alcohol,46,78,78,0.5116066105971625,0.002202091533553649,0.2202091533553649,0.07090913822425769,-0.008560888194285755,0.764679689384376,0.004355089950977886,0.06599310532910203,0.7201047948926016,0.0356655569579758,0.22869165858425297
alcohol,46,109,109,0.22031063953247068,0.0009482758510488532,0.09482758510488531,-0.03553193194850699,-0.008560888194285738,0.7661698136085202,0.0004709010749728293,0.021700255182204174,0.7202037620229712,0.035400473399553434,0.1982249568978964
alcohol,46,80,80,0.49253109656412436,0.002119985424914227,0.21199854249142272,-0.016127270524155166,-0.008560888194285722,0.7662671663521544,0.000216876234773955,0.014726718398000802,0.7207456204805593,0.03394845922851153,0.19881752329791222
alcohol,46,79,79,0.5067088423753145,0.002181010230632151,0.2181010230632151,0.03432063403200842,-0.008560888194285715,0.7659629856097339,0.0010104751904315146,0.03178797241774941,0.7208780262246239,0.0335934864934615,0.1863814947385734
alcohol,46,142,142,0.06277937688081028,0.00027021921032185497,0.027021921032185498,-0.04364953229150413,-0.008560888194285734,0.7662726741643361,0.00020250360418161417,0.014230376108230561,0.7212401919013584,0.03262220653982373,0.20887946134846896
alcohol,46,54,54,0.9190804381071087,0.00395596774843876,0.395596774843876,-0.010104647602044164,-0.008560888194285722,0.7662893935099011,0.0001588738552317226,0.012604517255003913,0.721351482035942,0.03232364328119797,0.22005994416548957
alcohol,46,28,28,1.9355425295858428,0.00833109214960882,0.833109214960882,-0.012779269313983554,-0.008560888194285722,0.7661451908066066,0.000535144826425582,0.023133197496795235,0.7219239880958631,0.030787026429523134,0.1809801008377021
alcohol,46,42,42,1.255720404848894,0.005404956102503587,0.5404956102503587,-0.02108567912519466,-0.00856088819428571,0.765988008849514,0.0009452021597087246,0.030744140249953245,0.7224629698295988,0.02933927541275394,0.17946027953200214
alcohol,46,12,12,3.702816177625989,0.015937910078093306,1.5937910078093305,-0.004451072771949783,-0.008560888194285715,0.76630268099152,0.00012419900293081376,0.011144460638841286,0.7224767667841789,0.02930220143010065,0.20318076898904913
alcohol,46,35,35,1.49915077242777,0.006452745439763313,0.6452745439763313,0.013339014965552906,-0.008560888194285729,0.7661772128134982,0.00045159528593052833,0.021250771419655475,0.722598459494751,0.02897516864448213,0.20258953070054228
