target,target_index_1based,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,evr_percent,coef,intercept,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy
co2,49,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.06733060374917281,0.015512538040000048,0.5239186883541108,0.23774479323252673,0.4875908051148287,0.4583916564317247,0.32316245908522945,0.5827669120416852
co2,49,39,39,1.3819623178331806,0.005948335022955433,0.5948335022955432,0.04456797385870972,0.01551253804,0.5978078451358881,0.0075792424806334635,0.08705884493050353,0.55638434769988,0.002849208174340645,0.12504103202381947
co2,49,96,96,0.32453806198654195,0.0013968985228363213,0.13968985228363212,0.011371650530822045,0.015512538039999989,0.6000515011634316,0.0001158767928419735,0.010764608345960491,0.5574620173550463,-0.0010173271028612874,0.10690617199433344
co2,49,60,60,0.7889342692592156,0.0033957838676834506,0.33957838676834506,0.012552836436086017,0.015512538039999997,0.599983272075173,0.0003432482881238208,0.018526961114107093,0.5576100619231359,-0.0015490758184371067,0.0922608853781109
co2,49,110,110,0.2193434475927778,0.0009441127985440527,0.09441127985440527,0.02449788578202916,0.01551253803999999,0.5999772043393565,0.0003634675931853959,0.019064826072782905,0.558113993809013,-0.0033601642915799257,0.08963697310306482
co2,49,50,50,1.0296691782332121,0.004431971230985253,0.4431971230985253,0.013193481296053486,0.01551253804,0.5999377663343755,0.0004948805020458247,0.022245909782382643,0.5581638521168861,-0.003539439762278773,0.09210216766482317
co2,49,100,100,0.28021897028297404,0.0012061373117931349,0.12061373117931348,0.02156564758513299,0.015512538039999984,0.599978293736133,0.0003598374492507217,0.018969381889002157,0.5590529457252458,-0.006739041881696606,0.08974466188748845
co2,49,94,94,0.3391832803770697,0.001459935455426348,0.1459935455426348,0.008092702911680611,0.015512538040000003,0.6000678669027382,6.133458765378297e-05,0.007831640163707026,0.5592207821682655,-0.007343610248519816,0.06382658719142233
co2,49,121,121,0.14879044304209832,0.0006404338179177515,0.06404338179177514,-0.06276730415373763,0.01551253804000002,0.5996004390744293,0.0016185488374582668,0.04023119234447825,0.5595290989051875,-0.008454679513067997,0.042620407781706185
co2,49,132,132,0.0994625974571709,0.00042811359202344425,0.042811359202344426,-0.0034030690412807586,0.015512538040000001,0.6000853159415057,3.1804248326050555e-06,0.0017833745631919945,0.5598621493961982,-0.00965556892626851,0.12209918423881708
co2,49,10,10,4.832061176185845,0.020798482242580997,2.0798482242581,-0.003433055148037099,0.01551253804,0.6000390879651905,0.00015724534682526325,0.012539750668393362,0.5599038113029144,-0.009805840707518554,0.049866324200827206
co2,49,23,23,2.2519267539731596,0.009692894377027327,0.9692894377027327,-0.010329544688711806,0.015512538039999997,0.5998871771193575,0.0006634381436865233,0.0257572930193875,0.5599182262320329,-0.00985783702081977,0.04222685849287494
co2,49,18,18,2.811988572614195,0.012103550071363508,1.210355007136351,-0.00256757981364541,0.015512538039999997,0.6000709122116954,5.1185302650358366e-05,0.007154390445755698,0.5604972925143278,-0.011947702941512928,0.061905631757358935
